date,Sales,index
2019/1/1,266,1
2019/1/2,145.9,2
2019/1/3,183.1,3
2019/1/4,119.3,4
2019/1/5,180.3,5
2019/1/6,168.5,6
2019/1/7,231.8,7
2019/1/8,224.5,8
2019/1/9,192.8,9
2019/1/10,122.9,10
2019/1/11,336.5,11
2019/1/12,185.9,12
2019/2/1,194.3,13
2019/2/2,149.5,14
2019/2/3,210.1,15
2019/2/4,273.3,16
2019/2/5,191.4,17
2019/2/6,287,18
2019/2/7,226,19
2019/2/8,303.6,20
2019/2/9,289.9,21
2019/2/10,421.6,22
2019/2/11,264.5,23
2019/2/12,342.3,24
2019/3/1,339.7,25
2019/3/2,440.4,26
2019/3/3,315.9,27
2019/3/4,439.3,28
2019/3/5,401.3,29
2019/3/6,437.4,30
2019/3/7,575.5,31
2019/3/8,407.6,32
2019/3/9,682,33
2019/3/10,475.3,34
2019/3/11,581.3,35
2019/3/12,646.9,36
